Data,Open,High,Low,Close
8/20/2008,2553.39,2563.79,2529.87,2554.12
8/21/2008,2542.04,2554.74,2525.12,2554.74
8/22/2008,2570.4,2600.96,2562.46,2592.57
8/25/2008,2596.48,2606.43,2572.97,2579.74
8/26/2008,2550.43,2565.77,2541.67,2544.32
8/27/2008,2551.96,2560.01,2502.01,2513.16
8/28/2008,2497.02,2576.37,2492.95,2576.37
8/29/2008,2580.71,2606.52,2579.36,2597.02
9/1/2008,2559.18,2596.29,2559.18,2584.29
9/2/2008,2587,2656.16,2567.02,2647.78
9/3/2008,2634.83,2647.36,2614.39,2614.39
9/4/2008,2634.49,2640.41,2605.77,2611.37
9/5/2008,2562.47,2574.04,2493.53,2503.38
9/8/2008,2563.6,2575.16,2539.21,2561.3
9/9/2008,2547.56,2570.93,2528.1,2529.2
9/10/2008,2522.72,2527.53,2448.77,2484.9
9/11/2008,2476.74,2483.87,2441.83,2446.38
9/12/2008,2480.86,2485.16,2453.09,2457.33
9/15/2008,2413.2,2415.23,2338.26,2363.69
9/16/2008,2323.88,2357.99,2279.17,2279.17
9/17/2008,2328.01,2337.62,2260.08,2278.45
9/18/2008,2229.76,2315.91,2227.72,2303.59
9/19/2008,2379.59,2433.87,2359.6,2433.87
9/22/2008,2446.11,2473.11,2407.36,2431.46
9/23/2008,2399.13,2403.54,2357.23,2362.59
9/24/2008,2381.61,2395.05,2362.47,2369.81
9/25/2008,2368.69,2447.02,2360.33,2447.02
9/26/2008,2410.14,2471.88,2402.89,2457.75
9/29/2008,2447.39,2447.39,2334.21,2334.21
9/30/2008,2265.6,2384.22,2256.71,2384.22
10/1/2008,2382.56,2456.38,2381.45,2413.85
10/2/2008,2434.23,2437.54,2334.62,2369.02
10/3/2008,2354.08,2365.78,2302.59,2352.16
10/6/2008,2273.34,2276.61,2203.54,2218.29
10/7/2008,2268.04,2274.12,2154.77,2186.9
10/8/2008,2096.73,2218.46,2072.77,2158.65
10/9/2008,2193.41,2209.23,2154.84,2167.07
10/10/2008,2033.47,2063.61,1874.53,1991.62
10/13/2008,2061.5,2061.5,1990.34,2015.39
10/14/2008,2130.89,2134.47,2072.48,2098.3
10/15/2008,2073.3,2074.71,1940.38,1966.42
10/16/2008,1855.19,1973.53,1849.36,1899.68
10/17/2008,1964.51,1965.78,1716.13,1779.09
10/20/2008,1822.37,1842.67,1765.12,1778.83
10/21/2008,1813.34,1869.22,1786.71,1822.09
10/22/2008,1779.31,1806.4,1682.52,1683.66
10/23/2008,1686.86,1710.44,1555.46,1617.31
10/24/2008,1561.38,1569.16,1502.34,1555.68
10/27/2008,1493.37,1607.65,1470.85,1570.11
10/28/2008,1631.87,1642.27,1596,1625.26
10/29/2008,1697.06,1759.65,1682.28,1750.86
10/30/2008,1808.84,1818.99,1733.17,1796.05
10/31/2008,1754.33,1835.85,1743.41,1825.84
11/3/2008,1819.75,1863.69,1795.68,1818.45
11/4/2008,1819.98,1903.39,1804.29,1903.39
11/5/2008,1881.6,1894.45,1839.65,1858.1
11/6/2008,1792.54,1841.51,1768.87,1777.11
11/7/2008,1793.97,1825.91,1762.77,1819.26
11/10/2008,1852.17,1880.93,1838.6,1848.58
11/12/2008,1816,1820.03,1678.81,1757.49
11/13/2008,1668.14,1715.31,1629.91,1682.03
11/14/2008,1743.77,1748.2,1694.34,1707.41
11/17/2008,1694.4,1715.74,1652.87,1674.16
11/18/2008,1654.64,1655.15,1598.4,1609.55
11/19/2008,1634.68,1642.17,1590.35,1642.17
11/20/2008,1555.75,1570.38,1533.01,1547.15
11/21/2008,1579.36,1598.98,1557.23,1586.64
11/24/2008,1614.83,1721.45,1605.86,1721.45
11/25/2008,1730.96,1759.59,1712.02,1745.92
11/26/2008,1736.45,1795.35,1723.98,1749.67
11/27/2008,1779.69,1810.12,1755.59,1771.98
11/28/2008,1768.64,1771.83,1723.07,1742.08
12/1/2008,1724.82,1738.2,1691.94,1706.22
12/2/2008,1649.51,1741.25,1642.99,1737.55
12/3/2008,1745.52,1749.32,1686.47,1700.15
12/4/2008,1712.05,1779.97,1699.64,1764.51
12/5/2008,1748.56,1776.2,1715.36,1732.74
12/8/2008,1807,1822.52,1794.27,1814.51
12/9/2008,1802.8,1849.84,1794.85,1849.84
12/10/2008,1851.24,1862.73,1810.96,1838.07
12/11/2008,1836.16,1837.72,1794.06,1827.55
12/12/2008,1768.89,1788.74,1748.81,1762.09
12/15/2008,1788.06,1802.54,1768.81,1802.54
12/16/2008,1818.54,1854.32,1804.54,1849.89
12/17/2008,1868.33,1868.35,1776.99,1776.99
12/18/2008,1793.39,1809.43,1768.94,1790.49
12/19/2008,1776.38,1813.6,1773.7,1777.9
12/22/2008,1788.42,1794.97,1740.77,1744.65
12/23/2008,1738.08,1757.9,1737.21,1747.82
12/29/2008,1753.49,1785.28,1753.23,1775.32
12/30/2008,1788.65,1815.35,1788.63,1805.81
12/31/2008,1808.19,1818.3,1784.01,1789.73
1/5/2009,1851.42,1877.44,1847.06,1877.44
1/6/2009,1884.87,1921.47,1872.25,1920.44
1/7/2009,1910.46,1919.41,1878.06,1887.85
1/8/2009,1854.83,1886.69,1853.66,1863.25
1/9/2009,1871.42,1879.77,1816.95,1817.37
1/12/2009,1812.07,1823.51,1783.41,1791.71
1/13/2009,1766.62,1777.19,1735.9,1766.12
1/14/2009,1784.18,1785.03,1690.65,1701.23
1/15/2009,1696.77,1712.49,1650.18,1684.35
1/16/2009,1721.24,1723.94,1681.57,1705.23
1/19/2009,1719.43,1719.9,1635.33,1644.72
1/20/2009,1632.31,1653.19,1608.07,1642.78
1/21/2009,1604.8,1679.07,1581.46,1678.77
1/22/2009,1704.99,1705.58,1584.4,1619.92
1/23/2009,1605.9,1611.48,1545.25,1611.48
1/26/2009,1583.99,1664.39,1571,1664.39
1/27/2009,1662.78,1672.89,1608.43,1608.43
1/28/2009,1639.24,1660.13,1627.89,1627.89
1/29/2009,1640.84,1642.68,1593.36,1611.22
1/30/2009,1594.8,1617.51,1570.64,1594.92
2/2/2009,1574.51,1580.45,1520.61,1532.55
2/3/2009,1540.54,1545,1455.72,1459.34
2/4/2009,1473.47,1486.08,1439.67,1479.86
2/5/2009,1464.47,1515.54,1453.75,1487.29
2/6/2009,1518.28,1536.54,1504.39,1531.73
2/9/2009,1548.37,1578.37,1507.57,1578.37
2/10/2009,1565.9,1594.84,1554.09,1584.14
2/11/2009,1535.52,1568.37,1531.89,1543.58
2/12/2009,1535.53,1535.53,1475.02,1494.41
2/13/2009,1509,1519.04,1487.9,1492.21
2/16/2009,1482.81,1485.29,1435.65,1435.65
2/17/2009,1411.83,1416.71,1327.64,1327.64
2/18/2009,1350.56,1369.43,1253.24,1337.78
2/19/2009,1361.59,1419.97,1357.06,1405.94
2/20/2009,1371.32,1415.97,1339.4,1383.1
2/23/2009,1428.15,1437.71,1365.03,1365.16
2/24/2009,1324.74,1375.86,1317.06,1361.08
2/25/2009,1396.34,1415.49,1341.59,1345.15
2/26/2009,1343.41,1393.18,1331.88,1392.76
2/27/2009,1377.24,1420.07,1358.94,1372.47
3/2/2009,1346.52,1392.21,1337.32,1380.24
3/3/2009,1373.86,1414.95,1370.07,1401.92
3/4/2009,1425.1,1469.46,1412.59,1461.22
3/5/2009,1466,1467.58,1432.19,1444.88
3/6/2009,1420.16,1487.4,1417.41,1476.46
3/9/2009,1477.48,1478.19,1430.85,1455.67
3/10/2009,1453.14,1498.35,1451.69,1481.42
3/11/2009,1507.22,1524.81,1486.38,1500.95
3/12/2009,1478.73,1499.47,1464.05,1494.19
3/13/2009,1534.9,1537.46,1488.71,1488.8
3/16/2009,1504.67,1523.63,1496.89,1513.7
3/17/2009,1512.34,1512.34,1471.38,1481.61
3/18/2009,1489.07,1491.57,1441.02,1452.81
3/19/2009,1467.31,1494.8,1453.24,1487.71
3/20/2009,1483.3,1506.5,1479.11,1506.5
3/23/2009,1526.93,1555.53,1524.44,1550.43
3/24/2009,1585.57,1586.21,1546.91,1552.71
3/25/2009,1546.55,1633.3,1543.43,1633.3
3/26/2009,1633.1,1650.38,1620.13,1623.91
3/27/2009,1621.33,1621.33,1566.25,1574.81
3/30/2009,1537.78,1550.62,1503.5,1517.45
3/31/2009,1537.63,1557.74,1511.85,1511.85
4/1/2009,1534.18,1540.33,1480.94,1523.8
4/2/2009,1574.15,1629.76,1568.95,1629.76
4/3/2009,1614.87,1708.2,1612.88,1668.1
4/6/2009,1698.32,1727.7,1653.69,1684.3
4/7/2009,1677.52,1683.22,1651.9,1653.63
4/8/2009,1631.22,1741.77,1627.74,1740.83
4/9/2009,1762.27,1785.1,1709.83,1784.94
4/14/2009,1752.32,1814,1749.37,1770.4
4/15/2009,1765.13,1784.55,1748.52,1784.55
4/16/2009,1801.16,1805.09,1757.61,1763.4
4/17/2009,1765.48,1769.62,1698.31,1698.31
4/20/2009,1705.96,1708.69,1657.28,1657.28
4/21/2009,1654.76,1686.8,1640.9,1660.91
4/22/2009,1664.02,1706.34,1649.81,1695.32
4/23/2009,1700.43,1735.98,1684.45,1712.65
4/24/2009,1714.18,1769.68,1711.93,1767.44
4/27/2009,1738.83,1759.19,1724.83,1739.79
4/28/2009,1702.27,1708.42,1673.54,1686.54
4/29/2009,1706.79,1759.09,1706.79,1749.82
4/30/2009,1776.1,1802.6,1776.1,1798.51
5/4/2009,1830.85,1880.45,1823.8,1874.53
5/5/2009,1865.17,1893.56,1841.18,1858.27
5/6/2009,1837.52,1895.84,1830.81,1854.31
5/7/2009,1884.55,1904.18,1832.96,1841.33
5/8/2009,1864.52,1865.8,1820.93,1847.06
5/11/2009,1849.56,1857.36,1803.16,1824.55
5/12/2009,1844.36,1877.29,1830.09,1865.18
5/13/2009,1880.29,1885.12,1814.73,1814.78
5/14/2009,1787.2,1817.89,1781.63,1807.35
5/15/2009,1833.08,1836.72,1800.92,1810.08
5/18/2009,1806.88,1846.99,1801.66,1846.99
5/19/2009,1879.9,1904.65,1859.72,1883.03
5/20/2009,1883.46,1920.39,1875.51,1879.35
5/21/2009,1853.44,1866.73,1829.79,1830.43
5/22/2009,1833.94,1836.13,1800.99,1814.62
5/25/2009,1828.21,1830.04,1788.45,1801.03
5/26/2009,1805.33,1815.27,1774.89,1808.68
5/27/2009,1835.44,1867.33,1833.89,1845.56
5/28/2009,1840.82,1848.08,1814.29,1814.29
5/29/2009,1833.86,1851.43,1801.06,1802.37
6/1/2009,1849.59,1916.76,1843.56,1916.76
6/2/2009,1909.06,1984.43,1900.18,1968.71
6/3/2009,1979.02,1987.04,1937.89,1937.89
6/4/2009,1954.13,1977.09,1943.28,1969
6/5/2009,1995.47,2013.41,1962.39,1962.39
6/8/2009,1948.83,1950.15,1916.43,1920.28
6/9/2009,1931.47,1959.86,1926.42,1959.86
6/10/2009,2007.42,2014.92,1989.52,2002.85
6/12/2009,1996.87,2041.32,1980.74,2041.32
6/15/2009,2029.58,2042.7,2005.37,2005.54
6/16/2009,1974.14,2003.05,1961.24,1978.51
6/17/2009,1989.93,1998.01,1915.4,1926.12
6/18/2009,1927.5,1940.77,1900.18,1927.35
6/19/2009,1917.82,1975.05,1915.09,1965.17
6/22/2009,1954.57,1954.57,1841.24,1843.2
6/23/2009,1824.42,1861.81,1815.21,1837.63
6/24/2009,1848.87,1875.09,1838.15,1864.43
6/25/2009,1883.05,1883.05,1832.87,1852.87
6/26/2009,1873.78,1881.75,1852.9,1858.24
6/29/2009,1842.59,1891.62,1841.02,1878
6/30/2009,1899.57,1911.09,1862.36,1862.36
7/1/2009,1868.78,1895.52,1865.91,1883.16
7/2/2009,1887.99,1890.58,1838.58,1841.04
7/3/2009,1844.39,1845.79,1821.24,1828.27
7/6/2009,1809.5,1822.4,1793.87,1810.97
7/7/2009,1824.07,1837.98,1803.29,1810.38
7/8/2009,1791.95,1817.79,1786.51,1807.39
7/9/2009,1826.49,1832.88,1803.73,1819.56
7/10/2009,1812.66,1818.35,1790.44,1790.44
7/13/2009,1773.75,1813.14,1758.19,1813.14
7/14/2009,1796.47,1867.3,1795.32,1867.3
7/15/2009,1888.32,1912.64,1873.03,1912.64
7/16/2009,1904.33,1930.63,1895.8,1913.86
7/17/2009,1910.63,1920.55,1897.32,1897.32
7/20/2009,1928.63,2008.58,1928.09,1998.39
7/21/2009,1995.68,2043.12,1980.04,2032.31
7/22/2009,2015.03,2028.23,1987.92,1994.91
7/23/2009,2017.3,2052.22,2009.79,2052.22
7/24/2009,2062.51,2112.93,2057.07,2083.95
7/27/2009,2123.48,2131.21,2064.44,2075.32
7/28/2009,2082.2,2109.17,2033.95,2033.95
7/29/2009,2016.26,2058.14,2012.02,2040.56
7/30/2009,2071.7,2140.12,2048.61,2140.12
7/31/2009,2147.96,2170.16,2107.01,2137.56
8/3/2009,2141.05,2186.3,2135.49,2158.54
8/4/2009,2139.66,2146.37,2116.45,2132.27
8/5/2009,2120.23,2155.32,2061.92,2061.92
8/6/2009,2084.6,2105.52,2048.85,2075.51
8/7/2009,2065.56,2123.7,2043.7,2116.05
8/10/2009,2130.39,2139.39,2101.74,2133.03
8/11/2009,2132.78,2156.45,2077.36,2077.36
8/12/2009,2061.65,2084.14,2032.49,2069.27
8/13/2009,2121.45,2154.11,2084.76,2119.79
8/14/2009,2137.55,2160.67,2087.87,2097.16
